Game.Id,Period,Time,Scorer,Assist.1,Assist.2,TeamId,Note,season,SQ
1532,1,1075,1270,1100,1014,4,PP,66,NA
1532,2,35,1430,1017,1217,4,ES,66,NA
1532,2,149,1336,NA,NA,5,ES,66,NA
1532,3,552,858,1053,994,5,ES,66,NA
1532,3,1116,1272,1053,1232,5,ES,66,NA
1532,OT1,67,1226,1053,1054,5,ES,66,NA
1072,1,811,1740,1305,1302,2,PP,66,NA
1072,1,888,1869,1140,1487,6,ES,66,NA
1072,2,225,1045,1096,1425,6,PP,66,NA
1072,2,1180,1302,1305,1027,2,PP,66,NA
1072,3,311,983,879,1869,6,ES,66,NA
1072,3,1198,1425,NA,NA,6,"ES, ENG",66,NA
1499,1,107,1063,1018,1742,8,ES,66,NA
1499,2,681,1309,1344,1008,7,ES,66,NA
1096,1,252,1346,1293,1055,3,SH,66,NA
1096,1,391,1035,1039,1346,3,ES,66,NA
1096,1,489,1293,1352,1162,3,ES,66,NA
1096,2,119,1005,1352,1055,3,ES,66,NA
1096,2,459,1352,1162,1293,3,ES,66,NA
1096,2,1020,1155,1265,1748,17,ES,66,NA
1096,2,1060,1876,1162,1039,3,PP,66,NA
1096,3,359,1748,1155,1253,17,ES,66,NA
1096,3,364,1005,1352,1162,3,ES,66,NA
1096,3,482,1039,1055,1005,3,ES,66,NA
1096,3,601,1352,1039,1005,3,PP,66,NA
1077,1,345,862,1316,1255,9,ES,66,NA
1077,1,1115,1255,1325,1405,9,ES,66,NA
1077,2,191,1737,1084,NA,16,ES,66,NA
1077,2,364,1264,1611,1737,16,ES,66,NA
1077,2,638,1733,1231,1703,16,PP,66,NA
1077,2,1074,1403,1737,1215,16,ES,66,NA
1077,3,300,1403,NA,NA,16,ES,66,NA
1077,3,985,1611,1311,1229,16,ES,66,NA
1087,1,140,1270,872,1430,4,ES,66,NA
1087,1,633,1009,783,NA,0,SH,66,NA
1087,1,777,872,NA,NA,4,ES,66,NA
1087,1,961,1048,1462,1199,0,ES,66,NA
1087,1,1119,1017,872,1482,4,ES,66,NA
1087,1,1199,872,NA,NA,4,ES,66,NA
1087,2,282,1408,1652,1193,4,ES,66,NA
1087,3,331,1100,872,1017,4,ES,66,NA
1087,3,427,1408,1217,1601,4,ES,66,NA
1137,1,238,1195,1122,1314,14,ES,66,NA
1137,1,600,1043,1355,833,15,ES,66,NA
1137,3,69,1189,833,1355,15,PP,66,NA
1101,1,310,1174,1105,1874,1,ES,66,NA
1101,2,110,1870,1747,NA,2,SH,66,NA
1101,2,810,1159,1258,1059,1,ES,66,NA
1101,3,875,1305,1027,1302,2,PP,66,NA
1101,3,1013,1184,NA,NA,2,ES,66,NA
1372,1,345,1035,1093,1346,3,ES,66,NA
1372,1,367,1035,1093,1055,3,ES,66,NA
1372,1,711,1093,1346,1055,3,ES,66,NA
1372,2,133,1274,1458,1233,17,PP,66,NA
1372,2,976,1401,1458,1441,17,ES,66,NA
1372,3,241,1155,NA,NA,17,PP,66,NA
1372,3,428,1346,1093,1035,3,ES,66,NA
1372,3,763,1265,1441,1155,17,PP,66,NA
1372,3,806,1401,1993,1364,17,ES,66,NA
1372,3,881,1372,1696,1429,3,ES,66,NA
1372,3,906,1005,1352,1162,3,ES,66,NA
1510,1,64,1734,1733,1084,16,ES,66,NA
1510,1,706,1084,1403,1463,16,ES,66,NA
1510,1,1115,1436,1032,1090,1,PP,66,NA
1510,2,928,1174,1210,1436,1,ES,66,NA
1510,3,344,1737,1229,1231,16,SH,66,NA
1510,3,1032,1611,1403,1264,16,ES,66,NA
1082,1,783,1355,1066,1449,15,ES,66,NA
1082,2,115,1302,1435,1027,2,ES,66,NA
1082,2,402,833,1247,968,15,ES,66,NA
1082,3,992,1111,1267,1870,2,ES,66,NA
1209,1,375,1118,1314,1301,14,ES,66,NA
1209,2,250,1290,1742,NA,8,PP,66,NA
1209,2,791,1018,1744,1063,8,ES,66,NA
1514,1,375,1199,1348,1462,0,ES,66,NA
1514,1,563,1010,1178,1493,0,ES,66,NA
1514,2,179,890,1009,1178,0,ES,66,NA
1514,2,934,1460,1010,1164,0,ES,66,NA
1514,3,39,1717,1361,965,7,PP,66,NA
1514,3,612,1199,783,1048,0,PP,66,NA
1088,1,30,1002,NA,NA,5,ES,66,NA
1088,1,196,1002,NA,NA,5,PP,66,NA
1088,1,416,1652,1270,1100,4,ES,66,NA
1088,1,514,856,1871,1054,5,ES,66,NA
1088,1,1066,999,1226,1051,5,ES,66,NA
1088,2,227,1051,1002,1990,5,ES,66,NA
1079,1,1188,1104,1227,1096,6,PP,66,NA
1079,2,170,1126,1316,862,9,ES,66,NA
1079,2,1064,1148,1405,NA,9,PP,66,NA
1079,3,80,1104,879,1444,6,ES,66,NA
1079,3,132,862,1992,1255,9,ES,66,NA
1079,3,776,1227,879,1869,6,ES,66,NA
1079,3,939,879,1104,1157,6,ES,66,NA
1079,3,1110,1869,1157,1444,6,ES,66,NA
1121,1,149,1372,1712,NA,3,ES,66,NA
1121,1,231,1269,1039,1055,3,SH,66,NA
1121,1,411,1372,NA,NA,3,ES,66,NA
1121,2,457,1066,1043,1101,15,ES,66,NA
1121,2,929,833,1189,1101,15,PP,66,NA
1121,3,102,1352,1712,NA,3,ES,66,NA
