id,league,name,nickname,season,gamesPlayed,wins,losses,overtimeLosses,shootoutWins,shootoutLosses,points,goalsFor,goalsAgainst,goalsDiff,winPercent,S,SA,FOPct,SB,H,TkA,GvA,PIMPerG,PPO,PPG,PPPercent,SHGA,SHO,PPGA,PKPercent,leagueRank,divisionRank,conferenceRank,playoffResult,playoffWins,playoffLosses
18,0,Atlanta,Inferno,87,66,44,21,0,3,1,89,378,262,116,0.667,2558,2207,51.2,1172,1414,597,771,7.98,259,64,0.2471,5,237,42,0.8228,8,,4,Missed,,
14,0,New Orleans,Specters,85,66,44,19,1,2,2,91,311,221,90,0.667,2232,1890,53.3,1291,1519,656,890,8.3,235,54,0.2298,9,250,44,0.824,8,,4,Round 2,6,7
21,0,Philadelphia,Forge,86,66,43,22,1,3,0,87,328,243,85,0.652,2479,2064,53.7,1141,1531,591,734,6.82,209,38,0.1818,4,188,30,0.8404,7,,3,Finals Lost,13,10
19,0,Seattle,Argonauts,65,66,43,19,0,3,4,90,266,197,69,0.652,,,,,,,,,,,,,,,,4,3,4,Round 1,2,4
1,0,Chicago,Syndicate,69,66,43,19,1,3,3,90,301,197,104,0.652,2464,1861,51.1,1030,1337,621,507,5.5,197,55,0.2792,9,169,35,0.7929,9,2,4,Round 1,3,4
19,0,Seattle,Argonauts,67,66,43,19,3,3,1,90,281,198,83,0.652,2606,1752,50.6,1076,1409,687,490,7.55,201,33,0.1642,12,208,38,0.8173,5,2,3,Cup Winner,16,7
21,0,Philadelphia,Forge,78,66,43,20,0,1,3,89,319,233,86,0.652,2833,2302,48.1,1072,1275,698,588,8.71,269,60,0.223,16,251,47,0.8127,5,2,2,Round 1,2,4
7,0,Baltimore,Platoon,65,66,43,21,0,4,2,88,274,207,67,0.652,,,,,,,,,,,,,,,,7,2,3,Round 1,1,4
21,0,Philadelphia,Forge,72,66,43,16,3,1,4,93,332,207,125,0.652,3094,2051,56.7,1034,1487,698,567,10.12,293,63,0.215,11,292,45,0.8459,6,1,3,Round 3,11,6
0,0,Buffalo,Stampede,72,66,43,21,1,2,1,88,302,240,62,0.652,2787,2379,49.1,1024,1375,653,601,9.94,284,56,0.1972,12,275,55,0.8,7,3,4,Round 1,1,4
19,0,Seattle,Argonauts,63,66,43,17,2,3,4,92,235,166,69,0.652,,,,,,,,,,,,,,,,6,1,3,Round 2,6,6
14,0,New Orleans,Specters,67,66,43,21,1,0,1,88,276,207,69,0.652,2244,1894,51.8,1333,1035,563,557,5.89,186,41,0.2204,7,167,29,0.8263,6,2,4,Round 2,4,7
13,0,Los Angeles,Panthers,77,66,43,22,0,1,1,87,289,203,86,0.652,2745,2014,52.6,1012,1176,646,611,8.62,235,50,0.2128,9,249,43,0.8273,5,2,3,Round 2,7,6
8,0,Calgary,Dragons,69,66,43,19,3,2,1,90,264,198,66,0.652,2244,2006,53.3,1339,1100,700,388,7.08,209,49,0.2344,5,203,38,0.8128,8,2,3,Round 1,0,4
6,0,Tampa Bay,Barracuda,80,66,43,19,2,0,2,90,318,229,89,0.652,2663,2191,52.1,1431,1135,582,575,9.12,249,50,0.2008,17,254,59,0.7677,3,2,2,Finals Lost,14,9
12,0,San Francisco,Pride,66,66,43,18,2,3,3,91,306,204,102,0.652,2746,1949,53.4,1094,1316,814,506,6.82,197,45,0.2284,8,200,35,0.825,4,2,3,Round 1,2,4
7,0,Baltimore,Platoon,75,66,43,19,4,1,0,90,324,238,86,0.652,2785,2310,53.8,1074,1197,684,653,6.32,205,42,0.2049,7,175,29,0.8343,5,2,2,Round 2,6,6
15,0,Texas,Renegades,60,66,43,19,2,3,2,90,240,162,78,0.652,,,,,,,,,,,,,,,,6,2,2,Round 2,5,4
8,0,Calgary,Dragons,59,66,42,20,1,5,3,88,228,184,44,0.636,,,,,,,,,,,,,,,,6,1,2,Round 2,2,4
13,0,Los Angeles,Panthers,62,66,42,22,1,5,1,86,243,189,54,0.636,,,,,,,,,,,,,,,,6,1,3,Round 3,10,7
5,0,New England,Wolfpack,53,50,42,7,1,2,0,85,196,81,115,0.84,,,,,,,,,,,,,,,,1,1,1,Round 2,5,6
0,0,Buffalo,Stampede,58,66,42,18,0,0,6,90,253,134,119,0.636,,,,,,,,,,,,,,,,5,3,3,Finals Lost,13,8
9,0,Edmonton,Blizzard,58,66,42,21,1,4,2,87,267,204,63,0.636,,,,,,,,,,,,,,,,7,2,3,Round 2,7,5
1,0,Chicago,Syndicate,58,66,42,20,3,2,1,88,240,130,110,0.636,,,,,,,,,,,,,,,,6,4,4,Missed,,
4,0,Manhattan,Rage,57,66,42,20,2,2,2,88,252,171,81,0.636,,,,,,,,,,,,,,,,7,1,4,Round 2,3,4
1,0,Chicago,Syndicate,61,66,42,23,0,1,1,85,261,165,96,0.636,,,,,,,,,,,,,,,,5,2,2,Round 2,7,4
3,0,Toronto,North Stars,60,66,42,18,2,1,4,90,230,174,56,0.636,,,,,,,,,,,,,,,,5,3,4,Round 1,0,4
14,0,New Orleans,Specters,83,66,42,21,2,0,1,87,305,222,83,0.636,2270,1906,50.4,1418,1763,616,927,8.92,256,50,0.1953,15,261,45,0.8276,7,,4,Round 2,7,4
2,0,Hamilton,Steelhawks,87,66,42,20,2,0,2,88,375,257,118,0.636,2749,1974,52.1,1232,1629,656,788,7.98,240,46,0.1917,11,234,42,0.8205,9,,5,Missed,,
5,0,New England,Wolfpack,84,66,42,19,2,2,3,89,328,227,101,0.636,2497,1904,51.3,1325,1555,781,725,7.24,221,49,0.2217,12,202,31,0.8465,6,,3,Round 3,9,10
18,0,Atlanta,Inferno,74,66,42,19,5,1,0,89,334,237,97,0.636,2934,2317,50.7,1136,1260,552,614,6.67,218,52,0.2385,8,193,33,0.829,4,2,3,Round 1,2,4
21,0,Philadelphia,Forge,79,66,42,21,1,1,2,87,330,243,87,0.636,2653,2081,51.8,1240,1189,688,566,9.91,237,61,0.2574,15,282,46,0.8369,4,1,1,Finals Lost,13,10
15,0,Texas,Renegades,81,66,42,21,3,3,0,87,299,241,58,0.636,2575,2300,50.6,1475,1098,656,590,8.14,228,32,0.1404,11,233,45,0.8069,4,1,2,Round 1,2,4
14,0,New Orleans,Specters,69,66,42,22,2,5,0,86,268,213,55,0.636,2209,1967,50.4,1471,1118,596,520,6.41,226,49,0.2168,12,192,48,0.75,10,3,5,Round 2,7,7
5,0,New England,Wolfpack,75,66,42,22,1,1,1,86,339,252,87,0.636,2977,2516,52.7,1227,1106,621,629,7.58,217,39,0.1797,15,209,44,0.7895,6,1,3,Finals Lost,12,11
0,0,Buffalo,Stampede,65,66,42,19,2,3,3,89,262,185,77,0.636,,,,,,,,,,,,,,,,6,1,2,Round 3,10,8
4,0,Manhattan,Rage,83,66,42,22,2,1,0,86,296,250,46,0.636,2449,1966,49.3,1324,1563,779,790,6.8,199,30,0.1508,5,186,38,0.7957,8,,4,Round 1,1,4
0,0,Buffalo,Stampede,66,66,42,22,1,2,1,86,283,203,80,0.636,2557,1900,51.7,902,1514,622,499,5.88,169,45,0.2663,7,175,33,0.8114,6,1,2,Round 3,9,7
8,0,Calgary,Dragons,67,66,42,17,3,4,4,91,286,218,68,0.636,2122,2229,51.1,1376,1089,665,415,5.7,191,47,0.2461,14,166,27,0.8373,4,1,2,Round 2,6,6
5,0,New England,Wolfpack,70,66,41,19,3,2,3,88,306,229,77,0.621,2681,2158,57.3,1287,1297,560,545,8.47,243,59,0.2428,4,251,49,0.8048,6,2,4,Cup Winner,16,12
7,0,Baltimore,Platoon,74,66,41,18,4,3,3,89,318,222,96,0.621,2770,2340,55.8,1041,1196,659,597,8.15,195,38,0.1949,9,245,44,0.8204,5,3,4,Round 2,6,6
12,0,San Francisco,Pride,67,66,41,23,1,3,1,84,260,211,49,0.621,2486,1872,50.5,1121,1340,794,520,5.82,179,42,0.2346,8,177,37,0.791,7,3,5,Round 1,0,4
8,0,Calgary,Dragons,79,66,41,21,2,6,2,86,270,244,26,0.621,2511,2317,49.2,1533,1180,657,619,8.06,217,49,0.2258,8,228,47,0.7939,5,3,4,Round 2,7,5
15,0,Texas,Renegades,74,66,41,20,2,1,3,87,277,201,76,0.621,2768,2023,54.2,1544,1163,649,653,6.94,203,40,0.197,11,209,45,0.7847,6,1,2,Round 2,6,7
18,0,Atlanta,Inferno,64,66,41,22,1,3,2,85,275,199,76,0.621,,,,,,,,,,,,,,,,6,2,3,Finals Lost,13,8
11,0,Winnipeg,Aurora,75,66,41,22,2,2,1,85,262,198,64,0.621,2296,1880,52.4,988,1176,701,702,6.27,184,31,0.1685,13,191,34,0.822,7,2,4,Round 1,2,4
21,0,Philadelphia,Forge,76,66,41,23,1,1,1,84,291,221,70,0.621,2769,2068,53.7,1206,1167,692,675,7.09,226,53,0.2345,8,196,42,0.7857,5,2,2,Round 2,7,6
21,0,Philadelphia,Forge,81,66,41,20,2,1,3,87,300,254,46,0.621,2697,2411,52.6,1172,1018,665,609,9.29,270,66,0.2444,18,262,38,0.855,3,2,2,Round 1,3,4
18,0,Atlanta,Inferno,71,66,41,22,0,3,3,85,269,217,52,0.621,2826,1976,51.2,1037,1553,618,567,8.45,229,49,0.214,10,241,50,0.7925,7,2,5,Round 2,6,5
18,0,Atlanta,Inferno,65,66,41,20,2,1,3,87,291,192,99,0.621,,,,,,,,,,,,,,,,9,3,4,Round 2,7,5
11,0,Winnipeg,Aurora,65,66,41,19,1,4,5,88,246,179,67,0.621,,,,,,,,,,,,,,,,8,2,5,Round 2,7,7
19,0,Seattle,Argonauts,82,66,41,21,2,0,2,86,293,227,66,0.621,2371,1992,51.6,1417,1400,727,771,8.18,246,41,0.1667,14,246,41,0.8333,4,2,2,Round 3,10,8
15,0,Texas,Renegades,72,66,41,19,2,2,4,88,260,219,41,0.621,2533,2173,54.2,1367,1087,664,535,8.52,262,44,0.1679,15,245,40,0.8367,8,3,4,Round 1,3,4
8,0,Calgary,Dragons,70,66,41,23,2,1,0,84,268,203,65,0.621,2250,2047,52.2,1511,1128,712,426,7.38,234,60,0.2564,9,216,42,0.8056,7,2,3,Round 2,4,5
1,0,Chicago,Syndicate,74,66,41,23,2,3,0,84,274,256,18,0.621,2610,2504,44.3,1098,1257,562,579,8.8,267,52,0.1948,16,249,57,0.7711,7,2,3,Round 1,1,4
0,0,Buffalo,Stampede,54,50,41,7,2,0,0,84,217,93,124,0.82,,,,,,,,,,,,,,,,1,1,1,Round 2,7,6
9,0,Edmonton,Blizzard,45,50,41,6,3,0,0,85,186,108,78,0.82,,,,,,,,,,,,,,,,1,,1,Cup Winner,12,6
5,0,New England,Wolfpack,16,50,41,9,0,0,0,82,0,0,0,0.82,,,,,,,,,,,,,,,,1,,1,Round 1,3,4
8,0,Calgary,Dragons,10,50,41,7,2,0,0,84,0,0,0,0.82,,,,,,,,,,,,,,,,1,,1,Round 2,7,5
24,0,Denver,Glacier Guardians,85,66,41,23,1,1,1,84,266,225,41,0.621,2347,2040,53.5,1211,1449,712,918,7.15,227,46,0.2026,6,197,30,0.8477,9,,5,Round 1,3,4
0,0,Buffalo,Stampede,86,66,40,24,1,0,1,82,358,273,85,0.606,2627,2188,51.7,1275,1575,865,808,8.7,249,52,0.2088,10,253,24,0.9051,10,,5,Round 1,3,4
14,0,New Orleans,Specters,86,66,40,24,2,0,0,82,295,254,41,0.606,2094,2070,48.8,1084,1408,654,829,7.29,215,44,0.2047,11,225,37,0.8356,11,,6,Round 1,3,4
14,0,New Orleans,Specters,87,66,40,24,2,5,0,82,316,260,56,0.606,2365,2010,47.8,1218,1718,757,823,8.35,236,52,0.2203,12,235,35,0.8511,10,,5,Missed,,
2,0,Hamilton,Steelhawks,53,50,40,7,0,3,3,83,207,103,104,0.8,,,,,,,,,,,,,,,,2,1,2,Cup Winner,12,3
0,0,Buffalo,Stampede,55,50,40,10,0,0,0,80,226,98,128,0.8,,,,,,,,,,,,,,,,1,1,1,Cup Winner,12,5
2,0,Hamilton,Steelhawks,56,50,40,4,2,3,4,86,228,91,137,0.8,,,,,,,,,,,,,,,,1,1,1,Cup Winner,12,6
14,0,New Orleans,Specters,66,66,40,19,2,1,5,87,250,192,58,0.606,2348,1930,52.7,1207,915,755,492,5.35,184,45,0.2446,7,152,27,0.8224,5,2,4,Round 2,4,5
19,0,Seattle,Argonauts,66,66,40,20,4,3,2,86,253,202,51,0.606,2436,1842,52.5,1129,1288,740,494,7.26,211,41,0.1943,12,223,36,0.8386,7,3,5,Finals Lost,14,8
0,0,Buffalo,Stampede,75,66,40,23,3,1,0,83,290,219,71,0.606,2713,2358,51.8,1091,1217,624,702,7.3,204,51,0.25,10,207,31,0.8502,8,2,4,Round 1,3,4
13,0,Los Angeles,Panthers,74,66,40,22,1,2,3,84,330,253,77,0.606,2838,2619,50.6,945,1228,714,609,9.47,273,61,0.2234,8,266,52,0.8045,8,2,4,Round 1,2,4
5,0,New England,Wolfpack,74,66,40,22,2,2,2,84,314,243,71,0.606,3006,2305,54.7,1210,1399,633,664,9.3,228,58,0.2544,14,281,59,0.79,9,2,5,Cup Winner,16,8
0,0,Buffalo,Stampede,77,66,40,21,4,3,1,85,279,226,53,0.606,2630,2455,52.6,1158,1243,581,654,8.17,231,45,0.1948,14,220,31,0.8591,7,1,3,Round 2,7,6
4,0,Manhattan,Rage,68,66,40,22,1,3,3,84,284,236,48,0.606,2370,2086,50.2,926,1383,632,507,7.08,212,37,0.1745,7,215,44,0.7953,9,3,6,Finals Lost,15,9
6,0,Tampa Bay,Barracuda,83,66,40,23,1,2,2,83,329,238,91,0.606,2328,2006,52,1387,1865,709,775,8.77,234,46,0.1966,6,235,25,0.8936,9,,5,Round 2,5,5
12,0,San Francisco,Pride,63,66,40,21,3,1,2,85,252,186,66,0.606,,,,,,,,,,,,,,,,7,2,4,Round 1,1,4
14,0,New Orleans,Specters,77,66,40,23,3,0,0,83,252,204,48,0.606,2340,2016,50.9,1494,1180,609,635,8.32,222,37,0.1667,10,221,39,0.8235,8,3,5,Round 1,3,4
10,0,Minnesota,Monarchs,77,66,40,21,3,0,2,85,293,221,72,0.606,2640,2135,53.1,1583,1126,714,583,7.88,238,50,0.2101,18,215,30,0.8605,6,2,4,Round 2,5,7
20,0,Montreal,Patriotes,68,66,40,19,5,3,2,87,269,211,58,0.606,2367,1960,52.3,988,1275,563,479,7.74,188,38,0.2021,11,219,34,0.8447,8,3,5,Round 1,2,4
19,0,Seattle,Argonauts,81,66,40,25,1,1,0,81,277,239,38,0.606,2565,2344,51.1,1587,1024,583,592,9.52,288,68,0.2361,11,272,46,0.8309,5,2,3,Round 2,6,6
0,0,Buffalo,Stampede,80,66,40,21,2,2,3,85,276,238,38,0.606,2550,2324,51.8,1378,1196,556,646,8.32,261,61,0.2337,10,223,51,0.7713,4,1,3,Round 1,2,4
5,0,New England,Wolfpack,77,66,40,24,1,2,1,82,324,238,86,0.606,2727,2380,47.5,959,1382,651,615,9.7,285,81,0.2842,12,275,57,0.7927,9,2,4,Cup Winner,16,9
