id,league,name,nickname,season,gamesPlayed,wins,losses,overtimeLosses,shootoutWins,shootoutLosses,points,goalsFor,goalsAgainst,goalsDiff,winPercent,S,SA,FOPct,SB,H,TkA,GvA,PIMPerG,PPO,PPG,PPPercent,SHGA,SHO,PPGA,PKPercent,leagueRank,divisionRank,conferenceRank,playoffResult,playoffWins,playoffLosses
8,1,St. Louis,Scarecrows,86,66,13,49,3,0,1,30,176,394,-218,0.197,1460,2710,47.9,1067,2216,690,818,6.26,194,38,0.1959,13,176,35,0.8011,16,,8,Round 1,0,4
0,1,Anchorage,Armada,64,66,12,47,4,3,3,31,144,283,-139,0.182,,,,,,,,,,,,,,,,13,3,7,Round 1,0,4
0,1,Prince George,Firebirds,11,40,12,21,7,0,0,31,0,0,0,0.3,,,,,,,,,,,,,,,,4,,2,Round 1,3,4
8,1,St. Louis,Scarecrows,14,40,12,25,3,0,0,27,0,0,0,0.3,,,,,,,,,,,,,,,,6,,3,Round 2,4,6
0,1,Prince George,Firebirds,28,50,12,28,10,0,0,34,0,0,0,0.24,,,,,,,,,,,,,,,,8,,4,Finals Lost,8,8
2,1,Halifax,Raiders,38,50,12,29,9,0,0,33,111,166,-55,0.24,,,,,,,,,,,,,,,,8,,4,Missed,,
8,1,Chicago,Hitmen,11,40,12,24,4,0,0,28,0,0,0,0.3,,,,,,,,,,,,,,,,5,,3,Round 1,2,4
9,1,Montreal,Impact,21,40,11,22,7,0,0,29,0,0,0,0.275,,,,,,,,,,,,,,,,6,,3,Round 1,3,8
3,1,Vancouver,Whalers,54,50,11,37,1,0,1,24,84,177,-93,0.22,,,,,,,,,,,,,,,,10,,5,Missed,,
0,1,Prince George,Firebirds,27,50,11,37,2,0,0,24,0,0,0,0.22,,,,,,,,,,,,,,,,8,,4,Round 1,3,4
14,1,Nevada,Battleborn,60,66,11,53,1,1,1,24,148,332,-184,0.167,,,,,,,,,,,,,,,,12,3,6,Round 1,0,4
3,1,Vancouver,Whalers,64,66,11,46,4,4,5,31,140,282,-142,0.167,,,,,,,,,,,,,,,,14,4,7,Missed,,
3,1,Vancouver,Whalers,79,66,10,52,3,5,1,24,158,358,-200,0.152,1750,3173,45.5,1040,1462,563,617,8.67,217,37,0.1705,3,223,53,0.7623,16,,8,Round 1,0,4
14,1,Nevada,Battleborn,55,50,10,36,1,0,3,24,102,210,-108,0.2,,,,,,,,,,,,,,,,12,3,6,Round 1,0,4
1,1,Kelowna,Knights,11,40,10,27,3,0,0,23,0,0,0,0.25,,,,,,,,,,,,,,,,6,,3,Cup Winner,12,9
0,1,Prince George,Firebirds,40,50,9,36,5,0,0,23,99,191,-92,0.18,,,,,,,,,,,,,,,,8,,4,Missed,,
8,1,St. Louis,Scarecrows,63,66,8,50,1,0,7,24,133,342,-209,0.121,,,,,,,,,,,,,,,,14,4,7,Missed,,
7,1,Detroit,Falcons,62,66,5,55,5,0,1,16,128,308,-180,0.076,,,,,,,,,,,,,,,,14,4,7,Missed,,
1,1,Kelowna,Knights,10,40,5,31,4,0,0,14,0,0,0,0.125,,,,,,,,,,,,,,,,5,,3,Round 1,1,4
8,1,Chicago,Hitmen,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,6,,3,Round 1,0,4
0,1,Anchorage,Armada,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,11,,6,Missed,,
18,1,Ottawa,Highlanders,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,7,,3,Missed,,
17,1,Great Falls,Grizzlies,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,1,,1,Missed,,
16,1,Thunder Bay,Walleye,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,10,,5,Missed,,
15,1,Quebec City,Citadelles,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,4,,3,Missed,,
14,1,Nevada,Battleborn,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,13,,6,Missed,,
9,1,Carolina,Kraken,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,6,,2,Missed,,
8,1,St. Louis,Scarecrows,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,16,,8,Missed,,
7,1,Detroit,Falcons,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,9,,5,Missed,,
6,1,Colorado,Raptors,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,3,,1,Missed,,
5,1,Yukon,Malamutes,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,12,,7,Missed,,
4,1,Newfoundland,Berserkers,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,5,,4,Missed,,
3,1,Vancouver,Whalers,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,15,,8,Missed,,
2,1,Maine,Timber,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,8,,4,Missed,,
1,1,Kelowna,Knights,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,2,,2,Missed,,
19,1,San Diego,Tidal,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,14,,7,Missed,,
